"client_ref","order_id","duration","deadline","known_difficult","created_on","last_modified_on"
"71c37edf86-de3eba64-1608258304633333593",,293.48,1608297904,0,1608258305,1608258305
"71c37edf86-de3eba64-1608258276308622521",,261.33999999999924,1608297876,0,1608258277,1608258277
"71c37edf86-de3eba64-1608258234930190413",,299.1899999999996,1608297835,0,1608258236,1608258236
"71c37edf86-de3eba64-1608258212596556378",,299.78,1608297812,0,1608258214,1608258214
"71c37edf86-de3eba64-1608258200822147999",,304.71000000000004,1608297801,0,1608258202,1608258202
"71c37edf86-de3eba64-1608258187999027598",,301.6100000000001,1608297788,0,1608258189,1608258189
"71c37edf86-de3eba64-1608258185510558467",,299.14,1608297785,0,1608258186,1608258186
"71c37edf86-de3eba64-1608258178657750255",,302.84000000000015,1608297779,0,1608258180,1608258180
"71c37edf86-de3eba64-1608258167640707827",,306.1100000000001,1608297767,0,1608258169,1608258169
"71c37edf86-de3eba64-1608258159442583365",,300.485,1608297759,0,1608258161,1608258161
"71c37edf86-de3eba64-1608258132983275899",,299.52,1608297733,0,1608258134,1608258134
"71c37edf86-de3eba64-1608258131176647537",,304.41000000000076,1608297731,0,1608258132,1608258132
"71c37edf86-de3eba64-1608258129647429559",,301.8600000000001,1608297729,0,1608258130,1608258130
"71c37edf86-de3eba64-1608258127257267258",,299.75999999999976,1608297727,0,1608258128,1608258128
"71c37edf86-de3eba64-1608258114015202654",,298.50999999999976,1608297714,0,1608258115,1608258115
"71c37edf86-de3eba64-1608258080344767627",,297.485,1608297680,0,1608258099,1608258099
"71c37edf86-de3eba64-1608258078831253937",,304.16999999999996,1608297678,0,1608258081,1608258081
"71d1bf5568-4597dbcf-1608257925372658785",,274,1608297525,0,1608257926,1608257926
"71d1bf5568-4597dbcf-1608257908647933116",,296,1608297509,0,1608257911,1608257911
"71d1bf5568-4597dbcf-1608257902817776119",,299.2399999999998,1608297503,0,1608257904,1608257904
"71d1bf5568-4597dbcf-1608257901652967178",,303.90999999999997,1608297502,0,1608257903,1608257903
"71d1bf5568-4597dbcf-1608257888226717770",,310.41000000000076,1608297488,0,1608257889,1608257889
"71d1bf5568-4597dbcf-1608257874113217657",,300.21999999999935,1608297474,0,1608257875,1608257875
"71d1bf5568-4597dbcf-1608257874114364407",,303.0799999999999,1608297474,0,1608257875,1608257875
"71d1bf5568-4597dbcf-1608257865801893103",,300.5499999999997,1608297466,0,1608257866,1608257866
"71d1bf5568-4597dbcf-1608257863952684658",,288.15999999999985,1608297464,0,1608257865,1608257865
"71d1bf5568-4597dbcf-1608257862875337264",,301.9899999999998,1608297463,0,1608257864,1608257864
"71d1bf5568-4597dbcf-1608257859738621210",,302.3900000000003,1608297460,0,1608257861,1608257861
"71d1bf5568-4597dbcf-1608257856470585005",,304.98,1608297456,0,1608257857,1608257857
"71d1bf5568-4597dbcf-1608257851330433779",,299.4100000000001,1608297452,0,1608257853,1608257853
"71d1bf5568-4597dbcf-1608257851061199172",,294.99,1608297451,0,1608257852,1608257852
"71d1bf5568-4597dbcf-1608257850099013941",,294.6300000000001,1608297450,0,1608257851,1608257851
"71d1bf5568-4597dbcf-1608257846991543798",,220.34000000000015,1608297447,0,1608257848,1608257848
"71d1bf5568-4597dbcf-1608257845910924010",,296.495,1608297446,0,1608257847,1608257847
"71d1bf5568-4597dbcf-1608257840905281455",,302.1899999999996,1608297441,0,1608257842,1608257842
"71d1bf5568-4597dbcf-1608257835944655418",,298.615,1608297436,0,1608257836,1608257836
"71d1bf5568-4597dbcf-1608257798136415087",,286.5,1608297398,0,1608257799,1608257799
"71d1bf5568-4597dbcf-1608257787263927323",,303.4900000000007,1608297387,0,1608257788,1608257788
"babbc0a96d-e6c307f4eb4d-1608257560102213097",,295.1100000000001,1608300760,0,1608257561,1608257561
"babbc0a96d-e6c307f4eb4d-1608257558609087658",,293.53999999999996,1608300758,0,1608257559,1608257559
"babbc0a96d-e6c307f4eb4d-1608257550468188704",,298.58000000000004,1608300750,0,1608257551,1608257551
"babbc0a96d-e6c307f4eb4d-1608257527338219944",,306.14999999999986,1608300727,0,1608257528,1608257528
"babbc0a96d-e6c307f4eb4d-1608257519213765521",,298.7800000000002,1608300719,0,1608257520,1608257520
"babbc0a96d-e6c307f4eb4d-1608257515146769673",,269.0999999999999,1608300715,0,1608257517,1608257517
"babbc0a96d-e6c307f4eb4d-1608257514587720550",,307.98,1608300714,0,1608257515,1608257515
"babbc0a96d-e6c307f4eb4d-1608257481662303040",,300.65999999999985,1608300681,0,1608257483,1608257483
"babbc0a96d-e6c307f4eb4d-1608257476213409323",,302.28,1608300676,0,1608257478,1608257478
"babbc0a96d-e6c307f4eb4d-1608257474121758440",,302.15999999999997,1608300674,0,1608257476,1608257476
"babbc0a96d-e6c307f4eb4d-1608257468300505206",,302.28,1608300668,0,1608257469,1608257469
"c922544c26-9c3ceb429b03-1608257368917737895",,298.8399999999999,1608300569,0,1608257370,1608257370
"c922544c26-9c3ceb429b03-1608257353957573409",,300.27,1608300554,0,1608257355,1608257355
"c922544c26-9c3ceb429b03-1608257350549047511",,300.6500000000001,1608300550,0,1608257352,1608257352
"c922544c26-9c3ceb429b03-1608257294032050332",,288.36999999999995,1608300494,0,1608257295,1608257295
"c922544c26-9c3ceb429b03-1608257284538225278",,296.95000000000005,1608300484,0,1608257285,1608257285
"c922544c26-9c3ceb429b03-1608257270927631539",,297.94,1608300471,0,1608257272,1608257272
"c922544c26-9c3ceb429b03-1608257261739537874",,300.80999999999995,1608300461,0,1608257262,1608257262
"c922544c26-9c3ceb429b03-1608257256974992661",,299.5,1608300457,0,1608257258,1608257258
"c922544c26-9c3ceb429b03-1608257206113372734",,59.86999999999989,1608300406,0,1608257207,1608257207
"6e6be4ea43-d8ef2f22-1608254681499959172",,331.8600000000006,1608297881,0,1608254682,1608254682
"32fce3a9b5-83bc469d-1608254665825491826",,311.5500000000002,1608297865,0,1608254666,1608254666
"6e6be4ea43-d8ef2f22-1608254634192728854",,299.46000000000004,1608297834,0,1608254635,1608254635
"32fce3a9b5-83bc469d-1608254628980377442",,298.5100000000002,1608297829,0,1608254630,1608254630
"32fce3a9b5-83bc469d-1608254629506285435",,272.28,1608297829,0,1608254630,1608254630
"32fce3a9b5-83bc469d-1608254565506584731",,286.96000000000004,1608297765,0,1608254567,1608254567
"6e6be4ea43-d8ef2f22-1608254563557787471",,296.18999999999994,1608297764,0,1608254565,1608254565
"32fce3a9b5-83bc469d-1608254560281990805",,303.3900000000003,1608297760,0,1608254561,1608254561
"6e6be4ea43-d8ef2f22-1608254522592251426",,300.42999999999984,1608297722,0,1608254523,1608254523
"32fce3a9b5-83bc469d-1608254498393330013",,328.7399999999998,1608297699,0,1608254500,1608254500
"32fce3a9b5-83bc469d-1608254494852724866",,300.2600000000002,1608297695,0,1608254496,1608254496
"32fce3a9b5-83bc469d-1608254448891221737",,298.5700000000006,1608297649,0,1608254457,1608254457
"6e6be4ea43-d8ef2f22-1608254421401857861",,307.09000000000015,1608297623,0,1608254424,1608254424
"32fce3a9b5-83bc469d-1608254412919033037",,299.2600000000002,1608297613,0,1608254414,1608254414
"6e6be4ea43-d8ef2f22-1608254403209106453",,301.8000000000002,1608297604,0,1608254405,1608254405
"6e6be4ea43-d8ef2f22-1608254397717980169",,303.0699999999997,1608297597,0,1608254399,1608254399
"32fce3a9b5-83bc469d-1608254387795858022",,307.6700000000001,1608297587,0,1608254391,1608254391
"32fce3a9b5-83bc469d-1608254377764166333",,286.97999999999956,1608297580,0,1608254381,1608254381
"6e6be4ea43-d8ef2f22-1608254376354455225",,301.34000000000015,1608297577,0,1608254378,1608254378
"32fce3a9b5-83bc469d-1608254368521933095",,300.46000000000004,1608297569,0,1608254370,1608254370
"32fce3a9b5-83bc469d-1608254364469629737",,304.6999999999998,1608297564,0,1608254366,1608254366
"6e6be4ea43-d8ef2f22-1608254356419400276",,300.1899999999996,1608297557,0,1608254359,1608254359
"6e6be4ea43-d8ef2f22-1608254350168644355",,300.69999999999993,1608297551,0,1608254352,1608254352
"6e6be4ea43-d8ef2f22-1608254351073844412",,292.89999999999964,1608297551,0,1608254352,1608254352
"32fce3a9b5-83bc469d-1608254342544191912",,305.3299999999999,1608297542,0,1608254343,1608254343
"32fce3a9b5-83bc469d-1608254311371937515",,283.6999999999998,1608297512,0,1608254313,1608254313
"6e6be4ea43-d8ef2f22-1608254310174263238",,299.08000000000004,1608297511,0,1608254312,1608254312
"32fce3a9b5-83bc469d-1608254308525660367",,305.7599999999993,1608297508,0,1608254309,1608254309
"32fce3a9b5-83bc469d-1608254300805848078",,312.80000000000007,1608297501,0,1608254302,1608254302
"6e6be4ea43-d8ef2f22-1608254299073114282",,302.21000000000004,1608297499,0,1608254300,1608254300
"6e6be4ea43-d8ef2f22-1608254293946395084",,293.2900000000002,1608297494,0,1608254295,1608254295
"32fce3a9b5-83bc469d-1608254290410342958",,295.1399999999999,1608297490,0,1608254292,1608254292
"6e6be4ea43-d8ef2f22-1608254278446674954",,296.0100000000002,1608297479,0,1608254280,1608254280
"6e6be4ea43-d8ef2f22-1608254274500721137",,293.9300000000003,1608297474,0,1608254275,1608254275
"6e6be4ea43-d8ef2f22-1608254268333357910",,298.90999999999985,1608297468,0,1608254269,1608254269
"6e6be4ea43-d8ef2f22-1608254262230958455",,306.15999999999985,1608297463,0,1608254264,1608254264
"32fce3a9b5-83bc469d-1608254260013410476",,402.3899999999994,1608297460,0,1608254261,1608254261
"32fce3a9b5-83bc469d-1608254252814291313",,287.03000000000065,1608297453,0,1608254254,1608254254
"6e6be4ea43-d8ef2f22-1608254251004955021",,300.6999999999998,1608297451,0,1608254252,1608254252
"6e6be4ea43-d8ef2f22-1608254241540205057",,298.09999999999945,1608297441,0,1608254242,1608254242
"6e6be4ea43-d8ef2f22-1608254239678514791",,295.85,1608297440,0,1608254240,1608254240
"32fce3a9b5-83bc469d-1608254237643785348",,282.4499999999998,1608297437,0,1608254239,1608254239
"6e6be4ea43-d8ef2f22-1608254236054551846",,303.73,1608297438,0,1608254239,1608254239
"32fce3a9b5-83bc469d-1608254236060829892",,315.23,1608297438,0,1608254239,1608254239
"6e6be4ea43-d8ef2f22-1608254235251720823",,305.92999999999984,1608297436,0,1608254237,1608254237
"32fce3a9b5-83bc469d-1608254234852769652",,318.8599999999997,1608297435,0,1608254236,1608254236
"32fce3a9b5-83bc469d-1608254234862190572",,292.3800000000001,1608297435,0,1608254236,1608254236
"32fce3a9b5-83bc469d-1608254217179665072",,338.90999999999985,1608297417,0,1608254218,1608254218
"6e6be4ea43-d8ef2f22-1608254215997256587",,297.8299999999999,1608297416,0,1608254217,1608254217
"32fce3a9b5-83bc469d-1608254210386743935",,294.90000000000003,1608297411,0,1608254213,1608254213
"32fce3a9b5-83bc469d-1608254210652026650",,309.1800000000003,1608297411,0,1608254212,1608254212
"6e6be4ea43-d8ef2f22-1608254206847297808",,313.05999999999995,1608297407,0,1608254208,1608254208
"32fce3a9b5-83bc469d-1608254200868442307",,255.77000000000044,1608297401,0,1608254202,1608254202
"6e6be4ea43-d8ef2f22-1608254198463770370",,304.4200000000001,1608297399,0,1608254200,1608254200
"32fce3a9b5-83bc469d-1608254188563547529",,309.94,1608297388,0,1608254189,1608254189
"6e6be4ea43-d8ef2f22-1608254168250219683",,301.6100000000006,1608297368,0,1608254169,1608254169
"6e6be4ea43-d8ef2f22-1608254167594185124",,299.85000000000036,1608297367,0,1608254168,1608254168
"6e6be4ea43-d8ef2f22-1608254163261774008",,312.9500000000007,1608297363,0,1608254164,1608254164
"6e6be4ea43-d8ef2f22-1608254152209502821",,298.6300000000001,1608297352,0,1608254153,1608254153
