client_ref,order_id,duration,deadline,known_difficult,created_on,last_modified_on,created_on_time,deadline_period,order_weekday,order_hours
55b0697643-41e1ae8fc2b5-1604024036102233393,NA,299.7999999999997,1604067236,0,1604024038,1604024038,2020-10-30T02:13:58Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604024020664505341,NA,302.28,1604067221,0,1604024026,1604024026,2020-10-30T02:13:46Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604024005352940631,NA,299.94000000000005,1604067206,0,1604024007,1604024007,2020-10-30T02:13:27Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604024003867300601,NA,298.52000000000004,1604067204,0,1604024005,1604024005,2020-10-30T02:13:25Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604024003912985738,NA,294.84000000000015,1604067204,0,1604024005,1604024005,2020-10-30T02:13:25Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023994600373932,NA,302.43,1604067195,0,1604023996,1604023996,2020-10-30T02:13:16Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023975643282575,NA,299.2399999999998,1604067175,0,1604023976,1604023976,2020-10-30T02:12:56Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023968256955477,NA,298.73,1604067168,0,1604023969,1604023969,2020-10-30T02:12:49Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023966539498765,NA,298.4300000000003,1604067167,0,1604023968,1604023968,2020-10-30T02:12:48Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023966047785487,NA,299.3699999999999,1604067166,0,1604023967,1604023967,2020-10-30T02:12:47Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023948900640800,NA,299.8299999999999,1604067149,0,1604023950,1604023950,2020-10-30T02:12:30Z,12,Fri,2
55b0697643-41e1ae8fc2b5-1604023907867305844,NA,35,1604067108,0,1604023920,1604023920,2020-10-30T02:12:00Z,12,Fri,2
839faa1953-ff83242af1b7-1604023773469007058,NA,299.3699999999999,1604066974,0,1604023776,1604023776,2020-10-30T02:09:36Z,12,Fri,2
839faa1953-ff83242af1b7-1604023761042868757,NA,299.94000000000005,1604066961,0,1604023762,1604023762,2020-10-30T02:09:22Z,12,Fri,2
839faa1953-ff83242af1b7-1604023749863347651,NA,298.4300000000003,1604066950,0,1604023751,1604023751,2020-10-30T02:09:11Z,12,Fri,2
839faa1953-ff83242af1b7-1604023716252277194,NA,298.52000000000004,1604066916,0,1604023717,1604023717,2020-10-30T02:08:37Z,12,Fri,2
839faa1953-ff83242af1b7-1604023715558702334,NA,299.8299999999999,1604066915,0,1604023716,1604023716,2020-10-30T02:08:36Z,12,Fri,2
839faa1953-ff83242af1b7-1604023704346024803,NA,299.2399999999998,1604066905,0,1604023706,1604023706,2020-10-30T02:08:26Z,12,Fri,2
839faa1953-ff83242af1b7-1604023690644915559,NA,294.84000000000015,1604066891,0,1604023692,1604023692,2020-10-30T02:08:12Z,12,Fri,2
839faa1953-ff83242af1b7-1604023688001345789,NA,298.73,1604066889,0,1604023690,1604023690,2020-10-30T02:08:10Z,12,Fri,2
839faa1953-ff83242af1b7-1604023676632278243,NA,302.43,1604066879,0,1604023681,1604023681,2020-10-30T02:08:01Z,12,Fri,2
839faa1953-ff83242af1b7-1604023677262170953,NA,299.7999999999997,1604066878,0,1604023678,1604023678,2020-10-30T02:07:58Z,12,Fri,2
839faa1953-ff83242af1b7-1604023670750426567,NA,302.28,1604066871,0,1604023672,1604023672,2020-10-30T02:07:52Z,12,Fri,2
839faa1953-ff83242af1b7-1604023574099655099,NA,35,1604066774,0,1604023575,1604023575,2020-10-30T02:06:15Z,12,Fri,2
87b7b7094b-c9aef37071c2-1604022624897666209,NA,297.71000000000004,1604065825,0,1604022626,1604022626,2020-10-30T01:50:26Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022612528518197,NA,301.88,1604065813,0,1604022614,1604022614,2020-10-30T01:50:14Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022600962896833,NA,301.11,1604065802,0,1604022603,1604022603,2020-10-30T01:50:03Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022595388203723,NA,293.2099999999996,1604065795,0,1604022596,1604022596,2020-10-30T01:49:56Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022586533678145,NA,306.67999999999984,1604065787,0,1604022588,1604022588,2020-10-30T01:49:48Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022572841672952,NA,288.93000000000006,1604065773,0,1604022574,1604022574,2020-10-30T01:49:34Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022560338047054,NA,302.5100000000002,1604065760,0,1604022562,1604022562,2020-10-30T01:49:22Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022554820589123,NA,300.5100000000002,1604065755,0,1604022557,1604022557,2020-10-30T01:49:17Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022551684234434,NA,226.32999999999993,1604065752,0,1604022552,1604022552,2020-10-30T01:49:12Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022539097623419,NA,298.34000000000015,1604065739,0,1604022540,1604022540,2020-10-30T01:49:00Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022523541272372,NA,299.495,1604065723,0,1604022525,1604022525,2020-10-30T01:48:45Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022516164951881,NA,300.69500000000005,1604065716,0,1604022517,1604022517,2020-10-30T01:48:37Z,12,Fri,1
87b7b7094b-c9aef37071c2-1604022514106806348,NA,303.8699999999999,1604065714,0,1604022515,1604022515,2020-10-30T01:48:35Z,12,Fri,1
9793357e26-4182eaab1805-1604020729554286375,NA,149.76999999999998,1604063930,0,1604020730,1604020730,2020-10-30T01:18:50Z,12,Fri,1
